metric,group,time_bin_start_day,n_wells,center,error,metric_label
network_bursts_rate_ratio,10uM,-6,12,0.5949771151433119,0.1406674822842293,network_bursts_rate (ratio to baseline)
network_bursts_rate_ratio,20uM,-6,6,0.5341799409160188,0.1255002905794097,network_bursts_rate (ratio to baseline)
network_bursts_rate_ratio,CT,-6,10,0.40869530705166335,0.06664540495091639,network_bursts_rate (ratio to baseline)
network_bursts_rate_ratio,IVH-E,-6,10,0.4851845631510421,0.06612567409891779,network_bursts_rate (ratio to baseline)
network_bursts_rate_ratio,IVH-L,-6,11,0.3883917101015248,0.03847603370837739,network_bursts_rate (ratio to baseline)
network_bursts_rate_ratio,NPH,-6,11,0.45975042787192477,0.09696674798663002,network_bursts_rate (ratio to baseline)
network_bursts_rate_ratio,10uM,-3,4,0.8307385226596814,0.17905328431311424,network_bursts_rate (ratio to baseline)
network_bursts_rate_ratio,20uM,-3,3,0.8699792823457108,0.183306297692199,network_bursts_rate (ratio to baseline)
network_bursts_rate_ratio,CT,-3,4,0.9482630646081722,0.07934338890243701,network_bursts_rate (ratio to baseline)
network_bursts_rate_ratio,IVH-E,-3,4,0.8925110549982854,0.1879267753665766,network_bursts_rate (ratio to baseline)
network_bursts_rate_ratio,IVH-L,-3,4,0.8868670896820722,0.05437343835215476,network_bursts_rate (ratio to baseline)
network_bursts_rate_ratio,NPH,-3,4,0.7801606521632902,0.07020862784806133,network_bursts_rate (ratio to baseline)
network_bursts_rate_ratio,10uM,0,16,1.4570287821245977,0.29458615990124576,network_bursts_rate (ratio to baseline)
network_bursts_rate_ratio,20uM,0,12,1.2148027017670835,0.10634057087495298,network_bursts_rate (ratio to baseline)
network_bursts_rate_ratio,CT,0,16,1.1324493500903396,0.08097769060676419,network_bursts_rate (ratio to baseline)
network_bursts_rate_ratio,IVH-E,0,16,1.157493420520368,0.07998578861171388,network_bursts_rate (ratio to baseline)
network_bursts_rate_ratio,IVH-L,0,16,1.0733595263406777,0.060349407182758566,network_bursts_rate (ratio to baseline)
network_bursts_rate_ratio,NPH,0,16,0.9906613130469206,0.059415519905963096,network_bursts_rate (ratio to baseline)
network_bursts_rate_ratio,10uM,3,12,1.0998348652387786,0.15813193541089698,network_bursts_rate (ratio to baseline)
network_bursts_rate_ratio,20uM,3,9,1.8661536139719368,0.5476444236858456,network_bursts_rate (ratio to baseline)
network_bursts_rate_ratio,CT,3,12,0.959033712729362,0.06359367090558048,network_bursts_rate (ratio to baseline)
