project,date,chip_id,run_id,well_id,well_dir,well_key,metrics_unfiltered,network_json,tm_curated,spike_times,tm_unfiltered,rejection_log,metrics_curated,has_network_json,has_metrics_curated,has_metrics_unfiltered,has_tm_curated,has_tm_unfiltered,has_spike_times,has_rejection_log,n_units_network_json,is_manual_outlier,manual_outlier_reason,group,plate_index_0based,plate_row,plate_col,plate_well,group_from_plate_col,recording_date,recording_date_str,DIV,days_since_treatment,treatment_phase,time_bin_index,time_bin_start_day,time_bin_end_day,time_bin_center_day,time_bin_label,exclusion_reasons
CX138,260330,T003346,000031,well022,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260330/T003346/Network/000031/well022,CX138|260330|T003346|000031|well022,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260330/T003346/Network/000031/well022/qm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260330/T003346/Network/000031/well022/network_results.json,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260330/T003346/Network/000031/well022/tm_curated.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260330/T003346/Network/000031/well022/spike_times.npy,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260330/T003346/Network/000031/well022/tm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260330/T003346/Network/000031/well022/rejection_log.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260330/T003346/Network/000031/well022/metrics_curated.xlsx,True,True,True,True,True,True,True,32.0,True,Excluded: physical well #23 (1-based),20uM,22,4,5,D5,20uM,2026-03-30,2026-03-30,17,5,post_treatment,1,3,5,4.0,D+3 to D+5,manual_outlier
CX138,260401,T003346,000033,well022,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260401/T003346/Network/000033/well022,CX138|260401|T003346|000033|well022,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260401/T003346/Network/000033/well022/qm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260401/T003346/Network/000033/well022/network_results.json,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260401/T003346/Network/000033/well022/tm_curated.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260401/T003346/Network/000033/well022/spike_times.npy,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260401/T003346/Network/000033/well022/tm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260401/T003346/Network/000033/well022/rejection_log.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260401/T003346/Network/000033/well022/metrics_curated.xlsx,True,True,True,True,True,True,True,23.0,True,Excluded: physical well #23 (1-based),20uM,22,4,5,D5,20uM,2026-04-01,2026-04-01,19,7,post_treatment,2,6,8,7.0,D+6 to D+8,manual_outlier
CX138,260402,T003346,000035,well022,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260402/T003346/Network/000035/well022,CX138|260402|T003346|000035|well022,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260402/T003346/Network/000035/well022/qm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260402/T003346/Network/000035/well022/network_results.json,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260402/T003346/Network/000035/well022/tm_curated.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260402/T003346/Network/000035/well022/spike_times.npy,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260402/T003346/Network/000035/well022/tm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260402/T003346/Network/000035/well022/rejection_log.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260402/T003346/Network/000035/well022/metrics_curated.xlsx,True,True,True,True,True,True,True,19.0,True,Excluded: physical well #23 (1-based),20uM,22,4,5,D5,20uM,2026-04-02,2026-04-02,20,8,post_treatment,2,6,8,7.0,D+6 to D+8,manual_outlier
CX138,260402,T003346,000036,well022,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260402/T003346/Network/000036/well022,CX138|260402|T003346|000036|well022,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260402/T003346/Network/000036/well022/qm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260402/T003346/Network/000036/well022/network_results.json,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260402/T003346/Network/000036/well022/tm_curated.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260402/T003346/Network/000036/well022/spike_times.npy,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260402/T003346/Network/000036/well022/tm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260402/T003346/Network/000036/well022/rejection_log.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260402/T003346/Network/000036/well022/metrics_curated.xlsx,True,True,True,True,True,True,True,11.0,True,Excluded: physical well #23 (1-based),20uM,22,4,5,D5,20uM,2026-04-02,2026-04-02,20,8,post_treatment,2,6,8,7.0,D+6 to D+8,manual_outlier
CX138,260404,T003346,000041,well022,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260404/T003346/Network/000041/well022,CX138|260404|T003346|000041|well022,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260404/T003346/Network/000041/well022/qm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260404/T003346/Network/000041/well022/network_results.json,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260404/T003346/Network/000041/well022/tm_curated.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260404/T003346/Network/000041/well022/spike_times.npy,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260404/T003346/Network/000041/well022/tm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260404/T003346/Network/000041/well022/rejection_log.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260404/T003346/Network/000041/well022/metrics_curated.xlsx,True,True,True,True,True,True,True,9.0,True,Excluded: physical well #23 (1-based),20uM,22,4,5,D5,20uM,2026-04-04,2026-04-04,22,10,post_treatment,3,9,11,10.0,D+9 to D+11,manual_outlier
CX138,260404,T003346,000043,well022,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260404/T003346/Network/000043/well022,CX138|260404|T003346|000043|well022,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260404/T003346/Network/000043/well022/qm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260404/T003346/Network/000043/well022/network_results.json,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260404/T003346/Network/000043/well022/tm_curated.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260404/T003346/Network/000043/well022/spike_times.npy,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260404/T003346/Network/000043/well022/tm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260404/T003346/Network/000043/well022/rejection_log.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260404/T003346/Network/000043/well022/metrics_curated.xlsx,True,True,True,True,True,True,True,25.0,True,Excluded: physical well #23 (1-based),20uM,22,4,5,D5,20uM,2026-04-04,2026-04-04,22,10,post_treatment,3,9,11,10.0,D+9 to D+11,manual_outlier
CX138,260404,T003346,000044,well022,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260404/T003346/Network/000044/well022,CX138|260404|T003346|000044|well022,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260404/T003346/Network/000044/well022/qm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260404/T003346/Network/000044/well022/network_results.json,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260404/T003346/Network/000044/well022/tm_curated.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260404/T003346/Network/000044/well022/spike_times.npy,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260404/T003346/Network/000044/well022/tm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260404/T003346/Network/000044/well022/rejection_log.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260404/T003346/Network/000044/well022/metrics_curated.xlsx,True,True,True,True,True,True,True,18.0,True,Excluded: physical well #23 (1-based),20uM,22,4,5,D5,20uM,2026-04-04,2026-04-04,22,10,post_treatment,3,9,11,10.0,D+9 to D+11,manual_outlier
CX138,260405,T003346,000048,well019,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260405/T003346/Network/000048/well019,CX138|260405|T003346|000048|well019,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260405/T003346/Network/000048/well019/qm_unfiltered.xlsx,,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260405/T003346/Network/000048/well019/tm_curated.xlsx,,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260405/T003346/Network/000048/well019/tm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260405/T003346/Network/000048/well019/rejection_log.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260405/T003346/Network/000048/well019/metrics_curated.xlsx,False,True,True,True,True,False,True,,False,,IVH-E,19,4,2,D2,IVH-E,2026-04-05,2026-04-05,23,11,post_treatment,3,9,11,10.0,D+9 to D+11,missing_network_json
CX138,260405,T003346,000048,well020,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260405/T003346/Network/000048/well020,CX138|260405|T003346|000048|well020,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260405/T003346/Network/000048/well020/qm_unfiltered.xlsx,,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260405/T003346/Network/000048/well020/tm_curated.xlsx,,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260405/T003346/Network/000048/well020/tm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260405/T003346/Network/000048/well020/rejection_log.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260405/T003346/Network/000048/well020/metrics_curated.xlsx,False,True,True,True,True,False,True,,False,,IVH-L,20,4,3,D3,IVH-L,2026-04-05,2026-04-05,23,11,post_treatment,3,9,11,10.0,D+9 to D+11,missing_network_json
CX138,260405,T003346,000048,well022,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260405/T003346/Network/000048/well022,CX138|260405|T003346|000048|well022,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260405/T003346/Network/000048/well022/qm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260405/T003346/Network/000048/well022/network_results.json,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260405/T003346/Network/000048/well022/tm_curated.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260405/T003346/Network/000048/well022/spike_times.npy,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260405/T003346/Network/000048/well022/tm_unfiltered.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260405/T003346/Network/000048/well022/rejection_log.xlsx,/mnt/benshalom-nas/analysis/Sadegh/CX138/CX138/260405/T003346/Network/000048/well022/metrics_curated.xlsx,True,True,True,True,True,True,True,10.0,True,Excluded: physical well #23 (1-based),20uM,22,4,5,D5,20uM,2026-04-05,2026-04-05,23,11,post_treatment,3,9,11,10.0,D+9 to D+11,manual_outlier
