metric,x_value,test_type,comparison,statistic,p_value,effect_size,n_group_1,n_group_2,p_adj,metric_label
network_bursts_rate_ratio,-6,anova,all_groups,0.6886753011345618,0.6341088449476835,,,,0.6341088449476835,network_bursts_rate (ratio to baseline)
network_bursts_rate_ratio,-6,welch_t,10uM vs 20uM,0.3225068614681771,0.7515732080181556,0.14923202756303997,12.0,6.0,0.9265971057758082,network_bursts_rate (ratio to baseline)
network_bursts_rate_ratio,-6,welch_t,10uM vs CT,1.1967491912085344,0.24934822981184376,0.49620997810532286,12.0,10.0,0.6545478821022278,network_bursts_rate (ratio to baseline)
network_bursts_rate_ratio,-6,welch_t,10uM vs IVH-E,0.7063580615777717,0.49046458027213025,0.29281963441871567,12.0,10.0,0.8280341198400321,network_bursts_rate (ratio to baseline)
network_bursts_rate_ratio,-6,welch_t,10uM vs IVH-L,1.4165728249115408,0.18079829947761195,0.5799980682857189,12.0,11.0,0.5671392435572734,network_bursts_rate (ratio to baseline)
network_bursts_rate_ratio,-6,welch_t,10uM vs NPH,0.7914913518429818,0.43833905895769976,0.3275511327230008,12.0,11.0,0.8020031365664978,network_bursts_rate (ratio to baseline)
network_bursts_rate_ratio,-6,welch_t,20uM vs CT,0.8830831543486133,0.403359175131462,0.476130744865623,6.0,10.0,0.7980750908237085,network_bursts_rate (ratio to baseline)
network_bursts_rate_ratio,-6,welch_t,20uM vs IVH-E,0.34538981518954837,0.7389005521394765,0.1863683323854548,6.0,10.0,0.9240453449265634,network_bursts_rate (ratio to baseline)
network_bursts_rate_ratio,-6,welch_t,20uM vs IVH-L,1.1106331982587312,0.30952831718555646,0.6194328727184042,6.0,11.0,0.7126570791880324,network_bursts_rate (ratio to baseline)
network_bursts_rate_ratio,-6,welch_t,20uM vs NPH,0.46930088945195236,0.6481666861139715,0.23659435266356316,6.0,11.0,0.8974901319191694,network_bursts_rate (ratio to baseline)
network_bursts_rate_ratio,-6,welch_t,CT vs IVH-E,-0.8147204599259085,0.42588151740038893,-0.3643540662108449,10.0,10.0,0.7997173031891998,network_bursts_rate (ratio to baseline)
network_bursts_rate_ratio,-6,welch_t,CT vs IVH-L,0.2638385343606072,0.7956057240310427,0.11654446262447152,10.0,11.0,0.9373539890921735,network_bursts_rate (ratio to baseline)
network_bursts_rate_ratio,-6,welch_t,CT vs NPH,-0.43391633526566004,0.6696900677790106,-0.18778125196840376,10.0,11.0,0.8974901319191694,network_bursts_rate (ratio to baseline)
network_bursts_rate_ratio,-6,welch_t,IVH-E vs IVH-L,1.2651839102606128,0.22560229125497314,0.5587848845898693,10.0,11.0,0.6288819268244588,network_bursts_rate (ratio to baseline)
network_bursts_rate_ratio,-6,welch_t,IVH-E vs NPH,0.2167048992303834,0.8309724767887572,0.09376608667038597,10.0,11.0,0.9396974984319634,network_bursts_rate (ratio to baseline)
network_bursts_rate_ratio,-6,welch_t,IVH-L vs NPH,-0.6840275807473032,0.5059029587510857,-0.29167034044464046,11.0,11.0,0.8280360979195956,network_bursts_rate (ratio to baseline)
network_bursts_rate_ratio,-3,anova,all_groups,0.1901907490481773,0.9622422429359202,,,,0.9622422429359202,network_bursts_rate (ratio to baseline)
network_bursts_rate_ratio,-3,welch_t,10uM vs 20uM,-0.1531379196078681,0.8845772665725393,-0.11595594755774467,4.0,3.0,0.9607806625571627,network_bursts_rate (ratio to baseline)
